"district_id";"frequency";"date";"avg_mensal_income";"avg_mensal_expenses";"avg_transaction_count";"gender";"owner_account_id";"owner_account_age";"account_age";"min_balance";"max_balance";"account_id"
55.0;"monthly issuance";12/31/92 11:00 PM;6317.752083333333;6017.05454545455;4.770833333333333;"F";692.0;"64";"7";900.0;42772.1;576.0
74.0;"monthly issuance";12/31/92 11:00 PM;19225.12916666667;18995.269565217375;7.625;"M";4601.0;"65";"7";600.0;75835.2;3818.0
55.0;"monthly issuance";12/31/92 11:00 PM;19167.616666666672;19114.70434782607;6.666666666666667;"M";844.0;"55";"7";1000.0;62186.2;704.0
16.0;"monthly issuance";12/31/92 11:00 PM;44588.091666666674;42682.52500000003;6.395833333333333;"F";2873.0;"25";"7";700.0;151483.0;2378.0
24.0;"monthly issuance";1/1/93 11:00 PM;15721.69375;15825.073913043467;7.666666666666667;"M";3177.0;"62";"7";1100.0;54876.8;2632.0
77.0;"monthly issuance";1/1/93 11:00 PM;5392.220833333334;5271.736363636367;5.0;"M";2397.0;"82";"7";400.0;34912.8;1972.0
1.0;"issuance after transaction";1/2/93 11:00 PM;24673.974999999995;25529.219565217394;6.229166666666667;"F";1866.0;"58";"7";-5950.5;95986.2;1539.0
47.0;"monthly issuance";1/2/93 11:00 PM;3508.8520833333337;3192.054545454547;6.8125;"F";950.0;"35";"7";800.0;32246.8;793.0
74.0;"monthly issuance";1/2/93 11:00 PM;16286.131249999999;16502.421739130423;8.395833333333334;"F";2999.0;"21";"7";1100.0;53805.8;2484.0
76.0;"monthly issuance";1/2/93 11:00 PM;36271.71666666667;40278.33170731711;5.791666666666667;"M";2058.0;"29";"7";200.0;136839.9;1695.0
48.0;"monthly issuance";1/2/93 11:00 PM;15792.92708333333;15843.682608695637;8.3125;"M";2093.0;"30";"7";1000.0;51964.3;1726.0
70.0;"monthly issuance";1/3/93 11:00 PM;9783.072916666664;9379.542222222217;5.770833333333333;"M";3483.0;"60";"7";700.0;49650.1;2881.0
19.0;"monthly issuance";1/3/93 11:00 PM;6543.581249999999;6491.122727272727;4.916666666666667;"M";2849.0;"72";"7";800.0;33244.0;2357.0
62.0;"monthly issuance";1/3/93 11:00 PM;5224.749999999998;5340.781818181822;4.958333333333333;"M";2636.0;"82";"7";800.0;31351.9;2177.0
6.0;"issuance after transaction";1/3/93 11:00 PM;34818.36250000001;34386.382978723406;8.041666666666666;"F";583.0;"35";"7";300.0;136472.2;485.0
21.0;"monthly issuance";1/4/93 11:00 PM;15568.358333333332;15057.0956521739;5.520833333333333;"F";782.0;"37";"7";700.0;74038.0;652.0
70.0;"monthly issuance";1/4/93 11:00 PM;4524.166666666666;4620.561363636367;5.645833333333333;"F";11860.0;"75";"7";-2725.6;22859.5;9635.0
44.0;"monthly issuance";1/5/93 11:00 PM;3350.772916666667;2894.2363636363657;4.395833333333333;"F";2236.0;"22";"7";500.0;37947.0;1844.0
37.0;"monthly issuance";1/5/93 11:00 PM;6177.306249999999;6228.764444444448;6.458333333333333;"F";2338.0;"43";"7";700.0;32623.8;1926.0
10.0;"monthly issuance";1/6/93 11:00 PM;12200.564583333333;12036.921739130425;5.604166666666667;"M";2889.0;"57";"7";900.0;43835.9;2393.0
41.0;"monthly issuance";1/6/93 11:00 PM;39538.85833333334;42890.418604651204;5.354166666666667;"F";4238.0;"29";"7";500.0;147236.6;3510.0
36.0;"monthly issuance";1/6/93 11:00 PM;8489.395833333332;8032.986956521735;7.479166666666667;"M";1540.0;"63";"7";400.0;47373.6;1276.0
1.0;"monthly issuance";1/7/93 11:00 PM;5812.908333333333;5707.077272727277;5.875;"M";1984.0;"74";"7";500.0;32423.0;1637.0
26.0;"monthly issuance";1/7/93 11:00 PM;4388.433333333335;4119.11162790698;5.791666666666667;"F";4665.0;"74";"7";300.0;45094.9;3871.0
55.0;"monthly issuance";1/7/93 11:00 PM;5833.187499999999;5864.3441860465155;4.666666666666667;"F";232.0;"79";"7";300.0;39283.8;192.0
1.0;"monthly issuance";1/7/93 11:00 PM;6227.772916666665;6475.530232558142;4.8125;"F";914.0;"79";"7";1100.0;37751.2;764.0
7.0;"weekly issuance";1/7/93 11:00 PM;29582.718750000004;30179.521739130436;5.291666666666667;"M";2530.0;"50";"7";600.0;130208.8;2087.0
68.0;"monthly issuance";1/7/93 11:00 PM;35817.60000000001;36006.5957446809;6.25;"F";2566.0;"37";"7";300.0;176243.2;2122.0
54.0;"monthly issuance";1/7/93 11:00 PM;6112.575;6250.509090909094;4.854166666666667;"F";4335.0;"76";"7";600.0;34845.9;3592.0
41.0;"monthly issuance";1/7/93 11:00 PM;17742.954166666666;17284.073913043463;6.479166666666667;"F";4215.0;"48";"7";800.0;69970.4;3487.0
38.0;"monthly issuance";1/7/93 11:00 PM;5024.700000000001;4929.204651162794;4.541666666666667;"M";523.0;"78";"7";400.0;34392.7;435.0
1.0;"monthly issuance";1/8/93 11:00 PM;6694.279166666668;6104.706666666671;5.0625;"M";2099.0;"82";"7";900.0;56108.7;1730.0
41.0;"monthly issuance";1/8/93 11:00 PM;5094.010416666667;5165.622727272731;5.666666666666667;"M";1810.0;"81";"7";200.0;28794.8;1493.0
38.0;"monthly issuance";1/8/93 11:00 PM;25005.44583333333;24297.33617021276;4.854166666666667;"F";454.0;"51";"7";400.0;85674.4;374.0
1.0;"monthly issuance";1/9/93 11:00 PM;7912.027083333333;7887.182608695649;5.708333333333333;"F";3533.0;"37";"7";1000.0;41715.7;2925.0
9.0;"monthly issuance";1/9/93 11:00 PM;14249.658333333335;13983.378260869553;8.5625;"F";1044.0;"29";"7";500.0;56927.8;866.0
60.0;"monthly issuance";1/9/93 11:00 PM;4358.8625;4275.281818181821;4.5;"F";1973.0;"69";"7";700.0;23590.0;1628.0
44.0;"monthly issuance";1/9/93 11:00 PM;6224.643749999999;6182.952173913046;6.916666666666667;"M";2874.0;"28";"7";800.0;33135.4;2379.0
26.0;"monthly issuance";1/10/93 11:00 PM;3055.685416666667;2876.1813953488395;4.8125;"F";2404.0;"23";"7";900.0;26722.3;1979.0
37.0;"monthly issuance";1/10/93 11:00 PM;21523.308333333327;21318.53913043477;5.729166666666667;"M";423.0;"43";"7";800.0;79677.1;346.0
74.0;"monthly issuance";1/10/93 11:00 PM;33171.05625;32183.987234042583;7.9375;"F";1619.0;"58";"7";400.0;157252.3;1338.0
14.0;"monthly issuance";1/11/93 11:00 PM;3213.579166666667;3162.0651162790723;6.604166666666667;"F";2319.0;"30";"7";800.0;26403.0;1909.0
3.0;"weekly issuance";1/11/93 11:00 PM;34696.637500000004;34023.7085106383;5.458333333333333;"M";2542.0;"56";"7";149.6;184168.4;2099.0
44.0;"monthly issuance";1/12/93 11:00 PM;34852.393749999996;34750.13617021279;5.25;"M";4536.0;"53";"7";1000.0;169292.1;3760.0
44.0;"monthly issuance";1/12/93 11:00 PM;47116.581818181825;41453.65999999999;4.818181818181818;"M";6367.0;"30";"7";800.0;125825.7;5270.0
53.0;"monthly issuance";1/13/93 11:00 PM;5198.256250000001;5460.320930232562;5.5625;"M";2064.0;"74";"7";800.0;29040.8;1699.0
1.0;"monthly issuance";1/13/93 11:00 PM;26134.11458333333;25832.038297872343;7.5;"F";4715.0;"24";"7";700.0;84241.3;3909.0
50.0;"monthly issuance";1/13/93 11:00 PM;12045.108333333335;11562.582608695642;8.375;"F";3534.0;"29";"7";600.0;54022.2;2926.0
33.0;"monthly issuance";1/13/93 11:00 PM;4735.868749999999;4670.483720930236;4.541666666666667;"F";2100.0;"69";"7";200.0;30326.7;1731.0
15.0;"monthly issuance";1/13/93 11:00 PM;10042.755555555554;9907.971428571427;4.777777777777778;"M";13845.0;"27";"7";1000.0;41469.1;11265.0
